grid-id,flight,Calibration Coefficients (.CLC),Calibration Info (.CLI),Debug Log (.DBG),Inertial Measurement Data (.IMU),RGB Camera Image (.JPG),LiDAR Raw Data (.LDR),LiDAR Trajectory (.LDRT),Event Marker (.MRK),Real-time Position (.RPOS),Flight Report (.RPT),RTK Base Data (.RTB),RTK Positioning (.RTK),RTK Log (.RTL),Sync Signal (.SIG),Flight Plan (.pdf)
RUH-Site01-Grid102,2,2,2,2,2,1574,2,2,2,2,2,2,2,2,2,1
RUH-Site01-Grid103,3,3,3,3,3,1640,3,3,3,3,3,3,3,3,3,1
RUH-Site01-Grid107,4,4,4,4,4,1052,4,4,4,4,4,4,4,4,4,1
RUH-Site01-Grid115,3,3,3,3,3,1140,3,3,3,3,3,3,3,3,3,1
RUH-Site01-Grid116,2,2,2,2,2,1426,2,2,2,2,2,2,2,2,2,1
RUH-Site01-Grid117,3,3,3,3,3,1510,3,3,3,3,3,3,3,3,3,1
RUH-Site01-Grid125,2,2,2,2,2,1182,2,2,2,2,2,2,2,2,2,1
RUH-Site01-Grid127,1,1,1,1,1,628,1,1,1,1,1,1,1,1,1,1
RUH-Site01-Grid128,2,2,2,2,2,1276,2,2,2,2,2,2,2,2,2,1
RUH-Site01-Grid129,2,2,2,2,2,1116,2,2,2,2,2,2,2,2,2,1
RUH-Site01-Grid25,3,3,3,3,3,1558,3,3,3,3,3,3,3,3,3,1
RUH-Site01-Grid29,3,3,3,3,3,1604,3,3,3,3,3,3,3,3,3,1
RUH-Site01-Grid43,2,2,2,2,2,1586,2,2,2,2,2,2,2,2,2,1
RUH-Site01-Grid44,3,3,3,3,3,1572,3,3,3,3,3,3,3,3,3,1
RUH-Site01-Grid51,2,2,2,2,2,1092,2,2,2,2,2,2,2,2,2,1
RUH-Site01-Grid60,3,3,3,3,3,1646,3,3,3,3,3,3,3,3,3,1
RUH-Site01-Grid64,2,2,2,2,2,1612,2,2,2,2,2,2,2,2,2,1
RUH-Site01-Grid70,2,2,2,2,2,1614,2,2,2,2,2,2,2,2,2,1
RUH-Site01-Grid79,3,3,3,3,3,1190,3,3,3,3,3,3,3,3,3,1
RUH-Site01-Grid80,2,2,2,2,2,1582,2,2,2,2,2,2,2,2,2,1
RUH-Site01-Grid90,2,2,2,2,2,836,2,2,2,2,2,2,2,2,2,1
RUH-Site01-Grid98,4,4,4,4,4,1614,4,4,4,4,4,4,4,4,4,1
RUH-Site02-Grid01,4,4,4,4,4,1395,4,4,4,4,4,4,4,4,4,1
RUH-Site02-Grid03,3,3,3,3,3,1035,3,3,3,3,3,3,3,3,3,1
RUH-Site02-Grid09,4,4,4,4,4,1049,4,4,4,4,4,4,4,4,4,1
RUH-Site02-Grid10,3,3,3,3,3,1120,3,3,3,3,3,3,3,3,3,1
