path,grid-id,report-json,contour,dem,dsm,orthophoto,pointcloud,multispectral,ndvi,msavi
D:\RUH\Site01\Grid04,RUH-Site01-Grid04,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid105,RUH-Site01-Grid105,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid106,RUH-Site01-Grid106,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid13,RUH-Site01-Grid13,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid21,RUH-Site01-Grid21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid47,RUH-Site01-Grid47,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid67,RUH-Site01-Grid67,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid68,RUH-Site01-Grid68,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid69,RUH-Site01-Grid69,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid88,RUH-Site01-Grid88,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid89,RUH-Site01-Grid89,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site04\Grid02,RUH-Site04-Grid02,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site04\Grid03,RUH-Site04-Grid03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site04\Grid04,RUH-Site04-Grid04,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site04\Grid05,RUH-Site04-Grid05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site04\Grid06,RUH-Site04-Grid06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site04\Grid07,RUH-Site04-Grid07,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site04\Grid08,RUH-Site04-Grid08,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site04\Grid09,RUH-Site04-Grid09,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site04\Grid10,RUH-Site04-Grid10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site04\Grid101,RUH-Site04-Grid101,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site04\Grid102,RUH-Site04-Grid102,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site04\Grid103,RUH-Site04-Grid103,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site04\Grid11,RUH-Site04-Grid11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site04\Grid121,RUH-Site04-Grid121,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site04\Grid122,RUH-Site04-Grid122,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site04\Grid123,RUH-Site04-Grid123,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site04\Grid141,RUH-Site04-Grid141,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site04\Grid16,RUH-Site04-Grid16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site04\Grid17,RUH-Site04-Grid17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site04\Grid18,RUH-Site04-Grid18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site04\Grid21,RUH-Site04-Grid21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
