Grid ID,pointcloud.las,dem.tif,dsm.tif,msavi.tif,multispectral.tif,ndvi.tif,orthophoto.tif,dem.png,dsm.png,msavi.png,multispectral.png,ndvi.png,orthophoto.png,technical-report.pdf
RUH-Site04-Grid100,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid118,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid119,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid120,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid134,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid136,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid138,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid150,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid151,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid155,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid157,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid167,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid188,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid19,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid197,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid20,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid203,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid205,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid206,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid216,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid217,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid219,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid233,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid234,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid239,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid250,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid252,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid253,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid33,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid34,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid36,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid42,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid43,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid44,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid49,available,available,available,available,available,available,available,available,available,available,available,available,available,available
