Grid ID,DEM,DSM,Orthophoto,Multispectral,NDVI,MSAVI
AHB-Site02-Grid01,Y,Y,Y,Y,Y,Y
AHB-Site02-Grid02,Y,Y,Y,Y,Y,Y
AHB-Site02-Grid03,Y,Y,Y,Y,Y,Y
AHB-Site02-Grid04,Y,Y,Y,Y,Y,Y
AHB-Site02-Grid05,Y,Y,Y,Y,Y,Y
AHB-Site02-Grid06,Y,Y,Y,Y,Y,Y
AHB-Site02-Grid07,Y,Y,Y,Y,Y,Y
AHB-Site02-Grid08,Y,Y,Y,Y,Y,Y
AHB-Site02-Grid09,Y,Y,Y,Y,Y,Y
AHB-Site02-Grid11,Y,Y,Y,Y,Y,Y
AHB-Site02-Grid12,Y,Y,Y,Y,Y,Y
AHB-Site05-Grid01,Y,Y,Y,Y,Y,Y
AHB-Site05-Grid02,Y,Y,Y,Y,Y,Y
EAM-Site01-Grid01,N,Y,Y,Y,Y,Y
EAM-Site01-Grid02,N,Y,Y,Y,Y,Y
EAM-Site01-Grid03,Y,Y,Y,Y,Y,Y
EAM-Site01-Grid04,Y,Y,Y,Y,Y,Y
GIZ-Site01-Grid01,Y,Y,Y,Y,Y,Y
GIZ-Site01-Grid02,Y,Y,Y,Y,Y,Y
GIZ-Site01-Grid03,Y,Y,Y,Y,Y,Y
GIZ-Site01-Grid05,Y,Y,Y,Y,Y,Y
GIZ-Site01-Grid06,Y,Y,Y,Y,Y,Y
GIZ-Site01-Grid07,Y,Y,Y,Y,Y,Y
GIZ-Site01-Grid08,Y,Y,Y,Y,Y,Y
GIZ-Site02-Grid01,Y,Y,Y,Y,Y,Y
GIZ-Site02-Grid03,Y,Y,Y,Y,Y,Y
GIZ-Site02-Grid04,Y,Y,Y,Y,Y,Y
GIZ-Site02-Grid07,Y,Y,Y,Y,Y,Y
GIZ-Site02-Grid08,Y,Y,Y,Y,Y,Y
GIZ-Site02-Grid09,Y,Y,Y,Y,Y,Y
GIZ-Site02-Grid10,Y,Y,Y,Y,Y,Y
GIZ-Site02-Grid11,Y,Y,Y,Y,Y,Y
GIZ-Site04-Grid01,Y,Y,Y,Y,Y,Y
GIZ-Site05-Grid01,Y,Y,Y,Y,Y,Y
HAS-Site01-Grid01,Y,Y,Y,Y,Y,Y
HAS-Site01-Grid02,Y,Y,Y,Y,Y,Y
HAS-Site01-Grid03,Y,Y,Y,Y,Y,Y
HAS-Site01-Grid04,Y,Y,Y,Y,Y,Y
JED-Site01-Grid01,Y,Y,Y,Y,Y,Y
JED-Site01-Grid12,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid197,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid215,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid216,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid217,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid232,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid233,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid234,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid235,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid237,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid252,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid253,Y,Y,Y,Y,Y,Y
