path,grid-id,report-json,contour,dem,dsm,orthophoto,pointcloud,multispectral,ndvi,msavi
D:\RUH\Site01\Grid107,RUH-Site01-Grid107,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid11,RUH-Site01-Grid11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid24,RUH-Site01-Grid24,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid25,RUH-Site01-Grid25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid28,RUH-Site01-Grid28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid29,RUH-Site01-Grid29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid43,RUH-Site01-Grid43,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid44,RUH-Site01-Grid44,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid46,RUH-Site01-Grid46,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid50,RUH-Site01-Grid50,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid51,RUH-Site01-Grid51,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid63,RUH-Site01-Grid63,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid64,RUH-Site01-Grid64,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid70,RUH-Site01-Grid70,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site01\Grid71,RUH-Site01-Grid71,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
