Grid ID,pointcloud.las,dem.tif,dsm.tif,msavi.tif,multispectral.tif,ndvi.tif,orthophoto.tif,dem.png,dsm.png,msavi.png,multispectral.png,ndvi.png,orthophoto.png,technical-report.pdf
RUH-Site01-Grid03,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid103,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid107,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid115,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid117,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid125,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid127,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid128,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid129,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid13,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid21,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid22,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid25,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid29,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid36,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid37,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid39,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid40,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid41,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid42,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid43,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid44,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid51,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid57,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid58,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid60,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid64,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid70,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid79,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid80,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid90,available,available,available,available,available,available,available,available,available,available,available,available,available,available
