"grid_id","size_gb"
"RUH-Site01-Grid03","50.141"
"RUH-Site01-Grid107","29.498"
"RUH-Site01-Grid125","35.201"
"RUH-Site01-Grid127","17.776"
"RUH-Site01-Grid25","56.075"
"RUH-Site01-Grid36","52.964"
"RUH-Site01-Grid40","50.331"
"RUH-Site01-Grid43","54.38"
"RUH-Site01-Grid57","54.8"
"RUH-Site01-Grid60","53.401"
"RUH-Site01-Grid90","26.049"
"RUH-Site04-Grid100","20.615"
"RUH-Site04-Grid118","57.387"
"RUH-Site04-Grid119","50.495"
"RUH-Site04-Grid120","48.248"
"RUH-Site04-Grid134","60.946"
"RUH-Site04-Grid136","68.605"
"RUH-Site04-Grid138","72.141"
"RUH-Site04-Grid150","62.233"
"RUH-Site04-Grid151","61.811"
"RUH-Site04-Grid155","62.609"
"RUH-Site04-Grid157","33.748"
"RUH-Site04-Grid167","64.132"
"RUH-Site04-Grid188","40.858"
"RUH-Site04-Grid19","59.348"
"RUH-Site04-Grid197","59.451"
"RUH-Site04-Grid20","62.645"
"RUH-Site04-Grid203","58.361"
"RUH-Site04-Grid205","71.191"
"RUH-Site04-Grid206","23.715"
"RUH-Site04-Grid216","63.76"
"RUH-Site04-Grid217","65.388"
"RUH-Site04-Grid219","59.434"
"RUH-Site04-Grid233","63.645"
"RUH-Site04-Grid234","63.341"
"RUH-Site04-Grid239","38.065"
"RUH-Site04-Grid250","33.249"
"RUH-Site04-Grid252","57.415"
"RUH-Site04-Grid253","53.44"
"RUH-Site04-Grid33","18.027"
"RUH-Site04-Grid34","63.46"
"RUH-Site04-Grid36","58.565"
"RUH-Site04-Grid42","53.726"
"RUH-Site04-Grid43","67.45"
"RUH-Site04-Grid44","53.28"
"RUH-Site04-Grid49","33.932"
