"grid_id","size_gb"
"RUH-Site02-Grid01","39.991"
"RUH-Site02-Grid03","30.207"
"RUH-Site02-Grid04","21.944"
"RUH-Site02-Grid05","37.696"
"RUH-Site02-Grid06","32.433"
"RUH-Site02-Grid08","37.994"
"RUH-Site02-Grid09","43.522"
"RUH-Site02-Grid10","37.03"
"RUH-Site02-Grid11","33.231"
"RUH-Site02-Grid12","15.203"
"RUH-Site02-Grid13","41.935"
"RUH-Site02-Grid15","44.938"
"RUH-Site02-Grid16","46.727"
"RUH-Site02-Grid17","40.303"
"RUH-Site02-Grid18","33.597"
"RUH-Site02-Grid19","28.452"
"RUH-Site02-Grid20","42.758"
"RUH-Site02-Grid21","36.837"
"RUH-Site02-Grid22","31.878"
"RUH-Site02-Grid23","37.91"
"RUH-Site02-Grid24","32.63"
"RUH-Site02-Grid25","31.957"
"RUH-Site02-Grid26","33.177"
"RUH-Site02-Grid27","33.737"
"RUH-Site02-Grid28","40.236"
"RUH-Site02-Grid29","21.492"
"RUH-Site03-Grid01","24.917"
"RUH-Site03-Grid02","35.499"
"RUH-Site03-Grid03","24.572"
"RUH-Site03-Grid04","21.495"
"RUH-Site03-Grid05","20.773"
"RUH-Site03-Grid06","50.387"
"RUH-Site03-Grid07","30.74"
"RUH-Site03-Grid08","50.633"
"RUH-Site03-Grid09","40.742"
"RUH-Site03-Grid10","33.733"
"RUH-Site03-Grid11","28.409"
"RUH-Site03-Grid12","26.366"
"RUH-Site03-Grid13","28.222"
