grid-id,flight,Calibration Coefficients (.CLC),Calibration Info (.CLI),Debug Log (.DBG),Inertial Measurement Data (.IMU),RGB Camera Image (.JPG),LiDAR Raw Data (.LDR),LiDAR Trajectory (.LDRT),Event Marker (.MRK),Real-time Position (.RPOS),Flight Report (.RPT),RTK Base Data (.RTB),RTK Positioning (.RTK),RTK Log (.RTL),Sync Signal (.SIG),Flight Plan (.pdf)
AHB-Site02-Grid01,2,2,2,2,2,878,2,2,2,2,2,2,2,2,2,1
AHB-Site02-Grid02,3,3,3,3,3,2508,3,3,3,3,3,3,3,3,3,1
AHB-Site02-Grid03,5,7,7,7,7,2694,7,7,5,7,6,7,5,7,5,1
AHB-Site02-Grid04,4,4,4,4,4,3298,4,4,4,4,4,4,4,4,4,1
AHB-Site02-Grid05,5,8,8,8,8,4700,8,8,5,8,7,8,6,8,6,1
AHB-Site02-Grid06,5,5,5,5,5,5006,5,5,5,5,5,5,5,5,5,1
AHB-Site02-Grid07,4,4,4,4,4,4438,4,4,4,4,4,4,4,4,4,1
AHB-Site02-Grid08,4,4,4,4,4,4164,4,4,4,4,4,4,4,4,4,1
AHB-Site02-Grid09,8,6,6,6,6,4130,6,6,8,6,8,6,6,6,6,1
AHB-Site02-Grid11,1,1,1,1,1,294,1,1,1,1,1,1,1,1,1,1
AHB-Site02-Grid12,1,1,1,1,1,84,1,1,1,1,1,1,1,1,1,1
AHB-Site05-Grid01,1,1,1,1,1,396,1,1,1,1,1,1,1,1,1,1
AHB-Site05-Grid02,2,2,2,2,2,382,2,2,2,2,2,2,2,2,2,1
EAM-Site01-Grid01,4,4,4,4,4,3902,4,4,4,4,4,4,4,4,4,1
EAM-Site01-Grid02,3,3,3,3,3,2768,3,3,3,3,3,3,3,3,3,1
EAM-Site01-Grid03,4,4,4,4,4,3422,4,4,4,4,4,4,4,4,4,1
EAM-Site01-Grid04,4,4,4,4,4,3314,4,4,4,4,4,4,4,4,4,1
GIZ-Site01-Grid01,6,6,6,6,6,1232,6,6,6,6,8,6,6,6,6,1
GIZ-Site01-Grid02,6,6,6,6,6,1290,6,6,6,6,6,6,6,6,6,1
GIZ-Site01-Grid03,7,7,7,7,7,2224,7,7,7,7,8,7,7,7,7,1
GIZ-Site01-Grid05,2,2,2,2,2,764,2,2,2,2,2,2,2,2,2,1
GIZ-Site01-Grid06,4,4,4,4,4,2356,4,4,4,4,4,4,4,4,4,1
GIZ-Site01-Grid07,7,7,7,7,7,2346,7,7,7,7,7,7,7,7,7,1
GIZ-Site01-Grid08,4,4,4,4,4,1382,4,4,4,4,4,4,4,4,4,1
GIZ-Site02-Grid01,7,7,7,7,7,2538,7,7,7,7,9,7,7,7,7,1
GIZ-Site02-Grid03,4,4,4,4,4,2478,4,4,4,4,5,4,4,4,4,1
GIZ-Site02-Grid04,7,7,7,7,7,3104,7,7,7,7,7,7,7,7,7,1
GIZ-Site02-Grid07,4,3,3,3,3,1794,3,3,4,3,4,3,3,3,3,1
GIZ-Site02-Grid08,4,4,4,4,4,2074,4,4,4,4,5,4,4,4,4,1
GIZ-Site02-Grid09,6,6,6,6,6,1816,6,6,6,6,6,6,6,6,6,1
GIZ-Site02-Grid10,3,3,3,3,3,808,3,3,3,3,3,3,3,3,3,1
GIZ-Site02-Grid11,4,4,4,4,4,1302,4,4,4,4,5,4,4,4,4,1
GIZ-Site04-Grid01,9,6,6,6,6,3110,6,6,9,6,5,6,9,6,9,1
GIZ-Site05-Grid01,2,2,2,2,2,1108,2,2,2,2,2,2,2,2,2,1
HAS-Site01-Grid01,3,3,3,3,3,2494,3,3,3,3,3,3,3,3,3,1
HAS-Site01-Grid02,3,3,3,3,3,1630,3,3,3,3,3,3,3,3,3,1
HAS-Site01-Grid03,5,5,5,5,5,1950,5,5,5,5,5,5,5,5,5,1
HAS-Site01-Grid04,2,2,2,2,2,1834,2,2,2,2,2,2,2,2,2,1
