Grid ID,pointcloud.las,dem.tif,dsm.tif,msavi.tif,multispectral.tif,ndvi.tif,orthophoto.tif,dem.png,dsm.png,msavi.png,multispectral.png,ndvi.png,orthophoto.png,technical-report.pdf
RUH-Site02-Grid01,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid03,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid04,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid05,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid06,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid08,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid09,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid10,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid11,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid12,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid13,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid15,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid16,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid17,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid18,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid19,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid20,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid21,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid22,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid23,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid24,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid25,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid26,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid27,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid28,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site02-Grid29,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site03-Grid01,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site03-Grid02,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site03-Grid03,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site03-Grid04,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site03-Grid05,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site03-Grid06,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site03-Grid07,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site03-Grid08,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site03-Grid09,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site03-Grid10,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site03-Grid11,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site03-Grid12,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site03-Grid13,available,available,available,available,available,available,available,available,available,available,available,available,available,available
